page_time_jst,scrape_time_jst,sell_kwh,buy_kwh,cons_kwh,self_kwh,gen_kwh
2025-11-14T12:37+09:00,2025-11-14T12:37+09:00,9.0,3.5,6.1,2.6,11.6
2025-11-14T13:01+09:00,2025-11-14T13:01+09:00,10.6,3.5,6.3,2.7,13.3
2025-11-14T13:37+09:00,2025-11-14T13:37+09:00,11.6,3.5,6.4,2.9,14.5
2025-11-14T13:52+09:00,2025-11-14T13:52+09:00,12.1,3.5,6.6,3.1,15.2
2025-11-14T14:34+09:00,2025-11-14T14:34+09:00,12.6,3.5,6.9,3.3,15.9
2025-11-14T14:50+09:00,2025-11-14T14:51+09:00,13.0,3.5,7.0,3.5,16.5
2025-11-14T15:46+09:00,2025-11-14T15:46+09:00,13.3,3.5,7.4,3.9,17.2
2025-11-14T16:31+09:00,2025-11-14T16:31+09:00,13.5,3.5,7.6,4.0,17.5
2025-11-14T16:51+09:00,2025-11-14T16:51+09:00,13.5,3.6,7.8,4.1,17.6
2025-11-14T17:40+09:00,2025-11-14T17:41+09:00,13.5,4.6,8.8,4.1,17.6
2025-11-14T17:55+09:00,2025-11-14T17:56+09:00,13.5,4.6,8.8,4.1,17.6
2025-11-14T18:34+09:00,2025-11-14T18:34+09:00,13.5,5.2,9.3,4.1,17.6
2025-11-14T18:52+09:00,2025-11-14T18:52+09:00,13.5,5.5,9.7,4.1,17.6
2025-11-14T19:36+09:00,2025-11-14T19:37+09:00,13.5,5.8,10.0,4.1,17.6
2025-11-14T19:52+09:00,2025-11-14T19:53+09:00,13.5,6.1,10.2,4.1,17.6
2025-11-14T20:28+09:00,2025-11-14T20:28+09:00,13.5,6.3,10.5,4.1,17.6
2025-11-14T20:51+09:00,2025-11-14T20:51+09:00,13.5,6.5,10.7,4.1,17.6
2025-11-14T22:00+09:00,2025-11-14T22:00+09:00,13.5,7.3,11.5,4.1,17.6
2025-11-14T22:41+09:00,2025-11-14T22:41+09:00,13.5,8.4,12.5,4.1,17.6
2025-11-14T22:52+09:00,2025-11-14T22:52+09:00,13.5,8.4,12.5,4.1,17.6
2025-11-14T23:34+09:00,2025-11-14T23:34+09:00,13.5,8.9,13.0,4.1,17.6
2025-11-14T23:51+09:00,2025-11-14T23:51+09:00,13.5,9.3,13.4,4.1,17.6
2025-11-15T00:30+09:00,2025-11-15T00:30+09:00,0.0,0.2,0.2,0.0,0.0
2025-11-15T00:46+09:00,2025-11-15T00:51+09:00,0.0,0.3,0.3,0.0,0.0
2025-11-15T01:42+09:00,2025-11-15T01:42+09:00,0.0,0.6,0.6,0.0,0.0
2025-11-15T01:56+09:00,2025-11-15T01:56+09:00,0.0,0.6,0.6,0.0,0.0
2025-11-15T02:32+09:00,2025-11-15T02:32+09:00,0.0,0.7,0.7,0.0,0.0
2025-11-15T02:50+09:00,2025-11-15T02:50+09:00,0.0,0.8,0.8,0.0,0.0
2025-11-15T03:44+09:00,2025-11-15T03:44+09:00,0.0,0.9,0.9,0.0,0.0
2025-11-15T03:58+09:00,2025-11-15T03:58+09:00,0.0,0.9,0.9,0.0,0.0
2025-11-15T04:26+09:00,2025-11-15T04:26+09:00,0.0,1.0,1.0,0.0,0.0
2025-11-15T04:50+09:00,2025-11-15T04:51+09:00,0.0,1.0,1.0,0.0,0.0
2025-11-15T05:33+09:00,2025-11-15T05:34+09:00,0.0,1.1,1.1,0.0,0.0
2025-11-15T05:51+09:00,2025-11-15T05:51+09:00,0.0,1.2,1.2,0.0,0.0
2025-11-15T06:30+09:00,2025-11-15T06:30+09:00,0.0,1.3,1.3,0.0,0.0
2025-11-15T06:50+09:00,2025-11-15T06:50+09:00,0.0,1.4,1.4,0.0,0.0
2025-11-15T07:30+09:00,2025-11-15T07:33+09:00,0.0,1.4,1.4,0.0,0.0
2025-11-15T07:50+09:00,2025-11-15T07:51+09:00,0.0,1.6,1.8,0.3,0.3
2025-11-15T08:29+09:00,2025-11-15T08:30+09:00,0.3,1.7,2.5,0.8,1.1
2025-11-15T08:51+09:00,2025-11-15T08:51+09:00,0.7,1.7,3.1,1.4,2.1
2025-11-15T11:06+09:00,2025-11-15T11:07+09:00,4.5,1.7,4.9,3.2,7.7
2025-11-15T12:13+09:00,2025-11-15T12:16+09:00,8.8,1.8,6.0,4.2,13.0
2025-11-15T12:56+09:00,2025-11-15T12:57+09:00,9.1,2.1,7.0,4.9,14.0
2025-11-15T13:34+09:00,2025-11-15T13:34+09:00,10.9,2.1,7.2,5.0,15.9
2025-11-15T13:51+09:00,2025-11-15T13:51+09:00,12.1,2.1,7.6,5.5,17.6
2025-11-15T14:28+09:00,2025-11-15T14:32+09:00,12.8,2.1,8.2,6.0,18.8
2025-11-15T14:50+09:00,2025-11-15T14:50+09:00,13.1,2.1,8.6,6.5,19.6
2025-11-15T15:41+09:00,2025-11-15T15:42+09:00,13.8,2.1,9.2,7.0,20.8
2025-11-15T15:53+09:00,2025-11-15T15:53+09:00,13.8,2.1,9.2,7.0,20.8
2025-11-15T16:27+09:00,2025-11-15T16:27+09:00,13.9,2.1,9.3,7.2,21.1
2025-11-15T16:51+09:00,2025-11-15T16:51+09:00,13.9,2.2,9.4,7.2,21.1
2025-11-15T17:35+09:00,2025-11-15T17:35+09:00,13.9,2.4,9.7,7.3,21.2
2025-11-15T17:52+09:00,2025-11-15T17:52+09:00,13.9,2.7,10.0,7.3,21.2
